Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover_in_crore
17-May-23,7570.8,7572.5,7491.05,7518.45,-0.69%,53226650,1948.01
18-May-23,7528.75,7538.75,7426.5,7435.85,-1.23%,67232277,2290.56
19-May-23,7413.3,7441.9,7347.7,7430.75,0.24%,58329324,2361.79
22-May-23,7435.25,7499.2,7420.6,7488.7,0.72%,39338318,1467.15
23-May-23,7531.95,7571.75,7524.85,7542.55,0.14%,64580071,1734.95
24-May-23,7552.35,7591.95,7540.4,7551.65,-0.01%,51509358,2080.18
25-May-23,7549.6,7564.15,7492.8,7543,-0.09%,46148910,2339.54
26-May-23,7575.65,7593.05,7546.2,7581.45,0.08%,50229295,2413.14
29-May-23,7562.3,7576.75,7520.8,7540.35,-0.29%,73063928,2464.97
30-May-23,7548.5,7582.5,7521.3,7526.9,-0.29%,50170266,2309
01-Jan-24,9551,9617.7,9526.45,9572.85,0.23%,124979847,3388.6
02-Jan-24,9581.35,9664.25,9472.4,9635.85,0.57%,136644746,4319.41
03-Jan-24,9670.25,9742.35,9645.95,9688.95,0.19%,120189383,5468.06
04-Jan-24,9720.1,9766.05,9679,9745.4,0.26%,120580290,4555.79
05-Jan-24,9796.6,9816.45,9719.65,9770.3,-0.27%,119097280,3903.24
08-Jan-24,9819.35,9874.4,9698.4,9720.8,-1%,108437738,3825.77
09-Jan-24,9807.95,9812.65,9719.3,9731.05,-0.78%,86814697,2909.41
10-Jan-24,9693.7,9748.8,9566,9731.65,0.39%,98413040,3889.06
11-Jan-24,9778.75,9888.3,9765.2,9875.2,0.99%,124260705,6112.67
12-Jan-24,9910.4,10034.8,9842.85,10019.95,1.11%,137093977,5268.4
15-Jan-24,10098.05,10204.95,10000.15,10193.2,0.94%,144126953,4620.98
16-Jan-24,10207.5,10323.3,10167.9,10230.65,0.23%,181019595,5769.07
17-Jan-24,10140.05,10280.4,10097.55,10128.9,-0.11%,145042475,5095.02
18-Jan-24,10077.8,10206.5,9943.95,10189.4,1.11%,131518944,4849.16
19-Jan-24,10273.2,10379.1,10223.5,10359,0.84%,115644174,4329.27
20-Jan-24,10405.15,10440.75,10329.1,10373.4,-0.31%,88846994,3263.4
23-Jan-24,10517.4,10520.1,9957.65,10013.15,-4.79%,173933604,6960.65
24-Jan-24,10055.5,10236.25,9987.95,10215,1.59%,121596875,5702.22
25-Jan-24,10253.25,10285.35,10139.6,10183.3,-0.68%,132097656,5150.78
29-Jan-24,10291.2,10738.85,10259.2,10710.4,4.07%,226704121,8928.79
30-Jan-24,10824.1,10938.25,10636.8,10656.35,-1.55%,266819541,9262.66
31-Jan-24,10675.35,10799.3,10649.8,10728.65,0.5%,142410706,5884.83
01-Feb-24,10803.95,10803.95,10654.3,10727.95,-0.7%,139071820,5508.82
02-Feb-24,10825.85,11159.8,10816.65,11111.5,2.64%,285467618,10578.2
05-Feb-24,11222,11448.15,11108.6,11271.4,0.44%,276735578,8658.81
06-Feb-24,11365.15,11623.65,11194.6,11572.05,1.82%,281798310,9510.52
07-Feb-24,11679.15,11721.75,11526.1,11596.8,-0.71%,203736389,7390.74
08-Feb-24,11675.1,11779.2,11558,11704.3,0.25%,195754960,8038.96
09-Feb-24,11750.15,11754.35,11301.8,11541.4,-1.78%,215232392,7586.31
12-Feb-24,11510.25,11561.15,11190.6,11239.05,-2.36%,153245214,5362.9
13-Feb-24,11256.1,11376.5,11137.85,11289.65,0.3%,115776125,4435.13
14-Feb-24,11197.25,11663.5,11158.45,11639.85,3.95%,175232319,6825.53
15-Feb-24,11705.7,11982.2,11655.9,11926.4,1.89%,252042279,9853.76
16-Feb-24,11973.5,12074.3,11824.9,11854.1,-1%,,
19-Feb-24,11893.6,11995.65,11849.25,11919.7,0.22%,125296193,5187.59
20-Feb-24,11921.35,11982.2,11788,11943.35,0.18%,118591516,5142.93
21-Feb-24,11977.95,12009.8,11708.35,11771.95,-1.72%,103194840,5501.44
22-Feb-24,11780.45,11825.85,11584.3,11806.75,0.22%,123044197,6614.52
23-Feb-24,11828.95,11847.45,11707.5,11756.3,-0.61%,88285163,4889.7
26-Feb-24,11757.45,11819.55,11646.3,11769.9,0.11%,119574363,5728.21
27-Feb-24,11755.2,11778.25,11616.45,11684.15,-0.6%,102146961,5014.11
28-Feb-24,11684.5,11725.35,11407.25,11441.6,-2.08%,102627791,4426.27
29-Feb-24,11456.7,11516.1,11376.75,11457.5,0.01%,156101217,7692.77
01-Mar-24,11544.25,11746.15,11538.2,11715.4,1.48%,119938983,5487.32
02-Mar-24,11746.3,11789.95,11723,11751.9,0.05%,7955429,325.63
04-Mar-24,11770.4,12005.65,11750.25,11972,1.71%,162779858,6488.37
05-Mar-24,12004.8,12054.8,11915.95,12034.65,0.25%,110168105,4552.42
06-Mar-24,12016,12058,11706.2,11911.2,-0.87%,139008122,6506.78
07-Mar-24,11907.65,11941.65,11742.95,11768.25,-1.17%,71529059,3861.62
11-Mar-24,11776.45,11827.55,11623.85,11643.55,-1.13%,90726488,4701.72
12-Mar-24,11659.8,11731.15,11565.05,11589.3,-0.6%,93912621,4288.71
13-Mar-24,11613.95,11619.45,10973.65,11025.4,-5.07%,121517998,5591.37
