Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover_in_crore
21-May-18,8211.35,8218.15,7956.05,7983.2,-2.78%,14653361,865.15
22-May-18,7993.25,8152.1,7900.35,8118.9,1.57%,16551603,1204.62
23-May-18,8100.85,8239.35,8050,8069.7,-0.38%,17857987,1094.28
24-May-18,8115.05,8231.65,8063.3,8207,1.13%,13601739,825.37
25-May-18,8247.65,8320.1,8156.35,8297.25,0.6%,17971232,1011.8
28-May-18,8404.25,8553.6,8381.3,8498.2,1.12%,32189741,1914.69
01-Jan-19,8890.55,8929.7,8852.65,8881.95,-0.1%,15067976,928.68
02-Jan-19,8856,8884.1,8765.3,8839.95,-0.18%,17507064,1137.12
03-Jan-19,8856.5,8867.55,8704.5,8722.3,-1.52%,17524453,1162.22
04-Jan-19,8744.7,8804.05,8683.8,8788.05,0.5%,14334888,1002.66
07-Jan-19,8840.6,8847.15,8711.5,8732.65,-1.22%,11250480,856.41
08-Jan-19,8764.1,8873.15,8754.15,8864.75,1.15%,24540974,1591.42
09-Jan-19,8898.5,8930.45,8831.8,8906.7,0.09%,18627451,1217.84
10-Jan-19,8878.7,8945.25,8866.35,8934.8,0.63%,14213671,1090.3
11-Jan-19,8943.6,8968.65,8867.45,8902.45,-0.46%,14554810,1066.37
14-Jan-19,8915.7,8961.25,8879.7,8949.3,0.38%,15814303,1084.63
15-Jan-19,8984.95,9035.4,8958.6,9027.5,0.47%,12386216,879.84
16-Jan-19,9019.4,9069.5,8989.75,9054.2,0.39%,15568463,1193.54
17-Jan-19,9069.6,9097.55,8905.4,8930.5,-1.53%,17945053,1270.43
18-Jan-19,8911.75,8912.55,8616.85,8689.6,-2.49%,95830878,4259.31
21-Jan-19,8694.2,8833.7,8694.2,8734.7,0.47%,58196942,2796.72
22-Jan-19,8791.85,8903.3,8783.05,8892.6,1.15%,46972600,2462.55
23-Jan-19,8905.2,8969.5,8855.1,8946.2,0.46%,35862545,1990.64
24-Jan-19,8956.45,9001.05,8845.95,8894.5,-0.69%,26561259,1534.67
25-Jan-19,8928.8,8960.65,8851.75,8891,-0.42%,23387485,1549.47
28-Jan-19,8886.15,8886.15,8638.25,8663.9,-2.5%,19761512,1465.04
29-Jan-19,8635.15,8786.55,8562.35,8756.9,1.41%,19234227,1399
30-Jan-19,8771.5,8784,8692.9,8734.6,-0.42%,13831146,1094.88
31-Jan-19,8748.45,8866.55,8713.8,8825.35,0.88%,27552682,1824.29
01-Feb-19,8810.65,8991.95,8806.4,8969.55,1.8%,13283646,1292.93
04-Feb-19,8992.1,8998.25,8772.9,8811.9,-2%,16734080,1782.42
05-Feb-19,8828.5,8887.45,8764.5,8800.6,-0.32%,16548155,1479.92
06-Feb-19,8803.4,8955,8703.4,8906.9,1.18%,27887243,2046.91
07-Feb-19,8937.95,9088.55,8937.95,9056.15,1.32%,39478146,2236.43
08-Feb-19,9060.8,9060.8,8921.6,8984.85,-0.84%,21851100,1620.06
11-Feb-19,8924.95,8957.3,8772.6,8838,-0.97%,17150131,1532.25
12-Feb-19,8839.9,8948.05,8795.25,8904.95,0.74%,19299020,1465.5
