Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover-in_crore
21-Apr-23,46259.4,46706.1,46194.8,46669.7,0.89%,23437852,1770.46
24-Apr-23,46812.05,46978.45,46509.75,46943.05,0.28%,23102105,2071.06
25-Apr-23,46913.45,47117.05,46807.95,47051.85,0.3%,23754945,2282.25
26-Apr-23,47038.1,47459.95,46933.05,47387.5,0.74%,21566282,1990.86
27-Apr-23,47401.5,47453.55,47197.15,47360.15,-0.09%,24352222,2241.83
28-Apr-23,47267.05,47955.3,47074.05,47814.1,1.16%,31061578,3239.77
02-May-23,47956.85,48083.7,47675.25,47750.2,-0.43%,24553152,2424.61
03-May-23,47754.7,48207.9,47638.15,48120.65,0.77%,22591998,2155.95
04-May-23,48061.5,48169.8,47938.8,48057.35,-0.01%,19139090,1633.62
05-May-23,48054.4,48326.05,48013.65,48186.15,0.27%,27542830,2209.41
08-May-23,48376.7,48686.15,48312.4,48538.45,0.33%,25592663,2196.38
09-May-23,48685.4,48708.35,48228.6,48369.1,-0.65%,21895556,2015.1
10-May-23,48453,48698.75,48333.85,48643.35,0.39%,23168435,2327.33
11-May-23,48860.65,48919.85,48491.3,48865,0.01%,28956420,2588.72
12-May-23,48905,49223.6,48661.75,48950.75,0.09%,21616505,2038.06
15-May-23,49026.8,49650.15,48910.5,49506.55,0.98%,21478462,2021.43
16-May-23,49668.15,49688.4,49363.9,49406.1,-0.53%,16576633,1642.22
17-May-23,49408.5,49513.8,49217.9,49434,0.05%,20055823,1806
18-May-23,49628.3,49756.15,48818,48889.3,-1.49%,31799551,2125.72
19-May-23,48964.8,48965.8,48426.6,48874.25,-0.18%,36089579,2450.7
22-May-23,48934.1,49126.25,48701.45,49052.25,0.24%,21415031,1490.06
23-May-23,49089.85,49322.4,49027.25,49118.8,0.06%,15920437,1353.67
24-May-23,49054.95,49439.25,49031.3,49355.25,0.61%,20094350,1569.96
25-May-23,49511.1,49825.05,49418.65,49657,0.29%,26811201,2218.86
26-May-23,49802.7,50425.15,49654.6,50388,1.18%,26956302,2265.77
29-May-23,50633.15,50850.25,50501.9,50626.4,-0.01%,29663834,2026.34
30-May-23,50717.8,51029.45,50669.5,50927.2,0.41%,26338204,1860.17
01-Jan-24,57127.55,57503.15,56899.4,57292.35,0.29%,19095764,1851.26
02-Jan-24,57427.4,57430,56763.7,57209.5,-0.38%,21779769,2279.1
03-Jan-24,57130.5,57631.6,57058.45,57213.3,0.14%,35605717,2717.4
04-Jan-24,57470.9,57922.2,57327.25,57703.9,0.41%,27421818,2879.45
05-Jan-24,57945.1,57966.7,57455.85,57667.35,-0.48%,24105421,2668.55
08-Jan-24,57718.85,57748.35,56636.45,56672.85,-1.81%,28259386,2711.51
09-Jan-24,56868.3,56996.25,56487.65,56573.1,-0.52%,16984637,1817.16
10-Jan-24,56575.6,56794.85,56134.65,56348.95,-0.4%,17380011,1817.58
11-Jan-24,56476.4,56688,56123.8,56228.55,-0.44%,17668217,2074.03
12-Jan-24,56279.1,56559.9,56008,56485.75,0.37%,27803687,3263.83
15-Jan-24,56795.4,56818.6,56317.45,56657.3,-0.24%,20995094,2516.7
16-Jan-24,56705.2,56872.5,56425.05,56755.85,0.09%,24734812,2339.05
17-Jan-24,56477.65,56839.6,56191.7,56259.5,-0.39%,25636261,2706.83
18-Jan-24,56175.6,56228.2,55206.7,55953.6,-0.4%,22176870,2242.34
19-Jan-24,56296.3,56813.95,56085.3,56640.5,0.61%,25100551,2372.87
20-Jan-24,56632.8,56650.35,55933.65,55976.65,-1.16%,9235648,1296.97
23-Jan-24,56212.7,56284.4,54816.1,54973.9,-2.2%,25865311,3092.49
24-Jan-24,55130.3,55918.6,54859.9,55858.7,1.32%,36475670,3159.8
25-Jan-24,55932.3,55981.6,54981.05,55214.1,-1.28%,33768158,2965.34
29-Jan-24,55058.15,55470.5,55047.7,55139.1,0.15%,32136373,2667.95
30-Jan-24,55187.2,55501.4,54507.4,54574.35,-1.11%,57485159,3742.3
31-Jan-24,54634.25,55124.95,54501.35,55071.4,0.8%,37303924,3095.83
01-Feb-24,55205.85,55792,55114.2,55215.8,0.02%,54911054,4617.44
02-Feb-24,55347.4,55557.5,54992.9,55118.4,-0.41%,31912450,2648.65
05-Feb-24,55340.4,55387.9,54590.6,54698.4,-1.16%,26675833,2568.33
06-Feb-24,54860.15,54956.7,54372.6,54608.8,-0.46%,31963156,2699.06
07-Feb-24,55041.35,55041.35,54523.1,54772.6,-0.49%,24564802,2657.72
08-Feb-24,54774.6,54775.6,53317.25,53646.2,-2.06%,63224923,4360.21
